Period,Dealer,New Vehicles,Parts,Service,Fixed Personnel Expenses,Other Operating Income / Expenses,Financial Result,Net Profit
Feb-19,"HSS, Iskandar",50,777,-258,-500,50,4400,2854
Feb-19,"HSS, KK + Sandakan + Tawau",1540,888,-147,-642,1540,4312,2364
Mar-19,"HSS, Bukit Tinggi",3652,254.3,1200,-800,3652,-666,5000
Mar-19,"HSS, Jalan Ipoh",1000,2258,3000,-145,1000,777,4400
Mar-19,"HSS, Puchong South",4400,900,1925.7,-150,4400,888,4312
Mar-19,"HSS, Setia Alam",4312,-980,1400,-245,4312,1233,6300
Mar-19,"HSS, Kuala Lumpur",300,852,1300,-800,-666,1925.7,8000
Mar-19,HSS Average,410,1470,1350,-145,777,1400,8700
Mar-19,"HSS, Kuching+ Sibu + Bintulu",-666,-3654,5000,-1000,888,1300,1000
Mar-19,"HSS, Kinrara",777,-300,6500,-2541,2854,1350,3200
Mar-19,"HSS, Melaka",888,500,500,-369,2364,5000,5500.5
Mar-19,"HSS, Belakong",2854,150,150,-258,5000,6500,6410
Mar-19,"HSS, Miri",2364,-150,-150,-147,-800,7000,8800
Mar-19,"HSS, Iskandar",5000,-245,-245,-4875,1200,2500,8888
Mar-19,"HSS, KK + Sandakan + Tawau",-800,300,300,-2578,1400,1000,14000
Apr-19,"HSS, Bukit Tinggi",1200,410,410,-1200,-1600,4400,12000
Apr-19,"HSS, Jalan Ipoh",1400,-666,-666,-5000,3500,4312,2258
Apr-19,"HSS, Puchong South",-1600,777,777,-800,4400,-666,2259
Apr-19,"HSS, Setia Alam",3500,888,888,-1200,4312,777,3000
Apr-19,"HSS, Kuala Lumpur",4400,2854,2854,-1400,-666,888,3500
Apr-19,HSS Average,4312,2364,2364,-1600,-1234,254.3,3542.5
Apr-19,"HSS, Kuching+ Sibu + Bintulu",-666,5000,3500,-3500,-1556,2258,254.3
Apr-19,"HSS, Kinrara",-666,-800,3542.5,-3542.5,1000,2259,2258
Apr-19,"HSS, Melaka",777,1200,-800,-800,4400,3000,2259
Apr-19,"HSS, Belakong",888,1400,-621,-621,4312,3500,3000
Apr-19,"HSS, Miri",254.3,-1600,-2360,-2360,-666,4913,3500
Apr-19,"HSS, Iskandar",2258,3500,3600,-3600,777,8943,4913
Apr-19,"HSS, KK + Sandakan + Tawau",2259,4400,-980,-980,888,218.9,200
May-19,"HSS, Bukit Tinggi",3000,4312,852,-6500,254.3,-300,100
May-19,"HSS, Jalan Ipoh",3500,1400,1470,-7000,2258,500,50
May-19,"HSS, Puchong South",4913,-1600,-3654,-2500,2259,150,1540
May-19,"HSS, Setia Alam",200,3500,2258,-1000,3000,-150,3652
May-19,"HSS, Kuala Lumpur",100,4400,2259,-4400,3500,-245,1000
May-19,HSS Average,50,4312,3000,-4312,4913,300,4400
May-19,"HSS, Kuching+ Sibu + Bintulu",1540,-666,888,-1600,200,410,4312
May-19,"HSS, Kinrara",3652,-666,2854,-666,100,-666,300
May-19,"HSS, Melaka",1000,777,2364,-666,50,777,410
May-19,"HSS, Belakong",4400,888,5000,-800,2364,888,8000
May-19,"HSS, Miri",4312,254.3,-800,-621,5000,2854,1100
May-19,"HSS, Iskandar",3500,3600,1200,-2360,-800,2364,11500
May-19,"HSS, KK + Sandakan + Tawau",3542.5,-980,1400,-980,1200,5000,11240
Jun-19,"HSS, Bukit Tinggi",-800,852,-1600,-3654,1400,-800,2258
Jun-19,"HSS, Jalan Ipoh",-621,1470,3500,-800,-1600,1200,2259
Jun-19,"HSS, Puchong South",-2360,-3654,4400,-450,3500,1400,3000
Jun-19,"HSS, Setia Alam",3600,2258,4312,-369,4400,-1600,3500
Jun-19,"HSS, Kuala Lumpur",-980,2259,1400,-258,4312,6500,3500
Jun-19,HSS Average,852,3000,564,-147,1400,500,4400
Jun-19,"HSS, Kuching+ Sibu + Bintulu",1470,3500,2341,-150,564,150,4312
Jun-19,"HSS, Kinrara",-3654,-800,-987,-245,1400,-150,1400
Jun-19,"HSS, Melaka",2258,-450,-245,-666,1300,-245,1600
Jun-19,"HSS, Belakong",2259,-369,-666,-1563,1350,300,3500
Jun-19,"HSS, Miri",3000,-258,-1563,-500,5000,410,4400
Jun-19,"HSS, Iskandar",3500,-147,-500,-642,6500,-666,4312
Jun-19,"HSS, KK + Sandakan + Tawau",2789,4913,3500,-800,500,777,2258
Jul-19,"HSS, Bukit Tinggi",1400,200,4400,-450,150,888,2259
Jul-19,"HSS, Jalan Ipoh",-1600,100,4312,-369,-150,2854,3000
Jul-19,"HSS, Puchong South",3500,50,-666,-258,-245,2364,3500
Jul-19,"HSS, Setia Alam",4400,4400,-1234,-147,300,3500,4913
Jul-19,"HSS, Kuala Lumpur",4312,4312,-1556,-2578,410,3542.5,8888
Jul-19,HSS Average,1400,300,1000,-1200,-666,-800,1000
Jul-19,"HSS, Kuching+ Sibu + Bintulu",564,410,4400,-5000,777,-621,4400
Jul-19,"HSS, Kinrara",3500,-666,4312,-800,888,-2360,4312
Jul-19,"HSS, Melaka",4400,777,-666,-1200,2854,3600,2258
Jul-19,"HSS, Belakong",4312,888,777,-1400,2364,-980,2259
Jul-19,"HSS, Miri",-666,2854,888,-1600,-666,852,3000
Jul-19,"HSS, Iskandar",-1234,2364,254.3,-3500,777,1470,3500
Jul-19,"HSS, KK + Sandakan + Tawau",-1556,5000,2258,-3542.5,888,-3654,4913
Aug-19,"HSS, Bukit Tinggi",1000,-800,2259,-800,254.3,-500,3542
Aug-19,"HSS, Jalan Ipoh",4400,1200,3000,-621,2258,3500,5558
Aug-19,"HSS, Puchong South",4312,1400,3500,-2360,2259,4400,10000
Aug-19,"HSS, Setia Alam",-666,-1600,4913,-3600,3000,4312,4400
Aug-19,"HSS, Kuala Lumpur",777,3500,200,-980,3500,-666,4312
Aug-19,HSS Average,888,4400,100,-6500,4913,-1234,1400
Aug-19,"HSS, Kuching+ Sibu + Bintulu",254.3,4312,50,-7000,200,-1556,564
Aug-19,"HSS, Kinrara",2258,-666,2364,-555.5,100,1000,1400
Aug-19,"HSS, Melaka",2259,-6500,5000,-700.5,50,4312,1300
Aug-19,"HSS, Belakong",3000,-7000,-800,-124.5,2364,-666,1350
Aug-19,"HSS, Miri",3500,-555.5,378,-369.5,5000,777,5000
Aug-19,"HSS, Iskandar",4913,2364,3737,-400.5,-800,888,6500
Aug-19,"HSS, KK + Sandakan + Tawau",200,5000,664,-123.5,1200,254.3,7800
Sep-19,"HSS, Bukit Tinggi",5000,100,5000,-666,-450,-800,8787.25
Sep-19,"HSS, Jalan Ipoh",-800,-218.9,6500,-1234,-8215,1200,4400
Sep-19,"HSS, Puchong South",1200,3500,7000,-1556,-3650,1400,4312
Sep-19,"HSS, Setia Alam",1400,3542.5,2500,-3379,-4551,-1600,6300
Sep-19,"HSS, Kuala Lumpur",-1600,-800,1000,-800,-6500,3500,8000
Sep-19,HSS Average,3500,-621,4400,-1600,-7000,4400,8700
Sep-19,"HSS, Kuching+ Sibu + Bintulu",4400,-2360,4312,-666,-555.5,4312,1000
Sep-19,"HSS, Kinrara",4312,3600,-666,-6500,2364,1400,3200
Sep-19,"HSS, Melaka",1400,-980,777,-7000,5000,-1600,5500.5
Sep-19,"HSS, Belakong",564,852,888,-555.5,100,3500,6410
Sep-19,"HSS, Miri",2341,1470,254.3,-218.9,-218.9,4400,8800
Sep-19,"HSS, Iskandar",-987,-3654,2258,-395.75,3500,4312,8888
Sep-19,"HSS, KK + Sandakan + Tawau",-245,2258,2259,-451.2,3542.5,-666,14000
Oct-19,"HSS, Bukit Tinggi",-666,2259,3000,-3380,-800,-666,12000
Oct-19,"HSS, Jalan Ipoh",-1563,3000,3500,-37.3,-621,777,2258
Oct-19,"HSS, Puchong South",-500,3500,4913,-365.4,-2360,888,2259
Oct-19,"HSS, Setia Alam",3500,-800,200,-165.3,3600,254.3,3000
Oct-19,"HSS, Kuala Lumpur",4400,-450,100,-800.6,-980,3600,3500
Oct-19,HSS Average,4312,-369,50,-123.4,852,-980,3542.5
Oct-19,"HSS, Kuching+ Sibu + Bintulu",-666,-258,1540,-987,1470,852,254.3
Oct-19,"HSS, Kinrara",-1234,-147,3652,-245,-3654,1470,8187.25
Oct-19,"HSS, Melaka",-1556,4913,1000,-666,2258,-3654,3655.8
Oct-19,"HSS, Belakong",1000,200,4400,-1563,2259,2258,3245.6
Oct-19,"HSS, Miri",4400,100,4312,-500,3000,2259,852.45
Oct-19,"HSS, Iskandar",4312,50,300,-757.6,3500,3000,8888
Oct-19,"HSS, KK + Sandakan + Tawau",-666,1540,410,-894.6,-800,-800,14000
Nov-19,"HSS, Bukit Tinggi",777,777,-666,-1458,-450,-1600,12000
Nov-19,"HSS, Jalan Ipoh",888,888,777,-143.3,-369,-666,2258
Nov-19,"HSS, Puchong South",254.3,2854,888,-800,-258,-6500,2259
Nov-19,"HSS, Setia Alam",2258,2364,2854,-980,-147,-2360,3000
Nov-19,"HSS, Kuala Lumpur",2259,5000,2364,-3654,1000,3600,3500
Nov-19,HSS Average,3000,-800,5000,-800,4400,-980,3542.5
Nov-19,"HSS, Kuching+ Sibu + Bintulu",3500,1200,-800,-145,4312,852,2854
Nov-19,"HSS, Kinrara",4913,1400,1200,-1000,-666,1470,2364
Nov-19,"HSS, Melaka",200,-1600,-1556,-2541,777,-3654,5000
Nov-19,"HSS, Belakong",100,3500,1000,-369,888,2258,2254.3
Nov-19,"HSS, Miri",50,4400,4400,-258,254.3,2259,5462
Nov-19,"HSS, Iskandar",2364,4312,4312,-147,2258,3000,2258
Nov-19,"HSS, KK + Sandakan + Tawau",5000,-666,-666,-4875,2259,3500,2259
Dec-19,"HSS, Bukit Tinggi",-800,-666,777,-2578,3000,-800,3000
Dec-19,"HSS, Jalan Ipoh",378,777,888,-1200,3500,-450,3500
Dec-19,"HSS, Puchong South",2258,888,254.3,-5000,4913,-369,4913
Dec-19,"HSS, Setia Alam",2259,254.3,2258,-800,200,-258,3258.5
Dec-19,"HSS, Kuala Lumpur",3000,2258,2259,-1200,100,-147,1478.5
Dec-19,HSS Average,3500,349,3000,-1400,50,1000,47925
Dec-19,"HSS, Kuching+ Sibu + Bintulu",4913,100,3500,-1600,2364,3500,8000
Dec-19,"HSS, Kinrara",-980,50,4913,-3500,-400.5,4400,1100
Dec-19,"HSS, Melaka",852,2364,200,-3542.5,-123.5,4312,11500
Dec-19,"HSS, Belakong",1470,5000,100,-800,-666,-666,11240
Dec-19,"HSS, Miri",-3654,-800,50,-872.3,-1234,-666,2258
Dec-19,"HSS, Iskandar",2258,378,2364,-1456.6,-1556,777,8451
Dec-19,"HSS, KK + Sandakan + Tawau",2259,2258,5000,-1478.8,800,888,14523
,,,,,,,,
,,,,,,,,
